Date,ALB
2015-09-03,0.0032765045131795123
2015-09-04,-0.010263765283750836
2015-09-08,0.01390546834319406
2015-09-09,0.0002321591041929416
2015-09-10,-0.005345264685763018
2015-09-11,-0.01869110788128725
2015-09-14,0.004075627059400455
2015-09-15,0.05706754861571062
2015-09-16,0.010617148767094964
2015-09-17,0.006928671025708377
2015-09-18,0.014650216416824291
2015-09-21,0.015095572181972106
2015-09-22,-0.014871084650210586
2015-09-23,-0.008750580194869073
2015-09-24,-0.0019860302480124714
2015-09-25,-0.0019907547345952015
2015-09-28,-0.07422979944788821
2015-09-29,0.017950988841418436
2015-09-30,0.03691521105624096
2015-10-01,0.024262942587106817
2015-10-02,0.021695624545456704
2015-10-05,0.027736040459321876
2015-10-06,0.003794887569437577
2015-10-07,0.027305261113602652
2015-10-08,0.03393988057803399
