Date,VTRS
2015-09-02,0.006833978934704943
2015-09-03,-0.024681344909305514
2015-09-04,0.013285576798673704
2015-09-08,0.013943839788097545
2015-09-09,-0.02380967985302951
2015-09-10,0.005046192021158413
2015-09-11,0.017782650974464298
2015-09-14,0.00842750357322486
2015-09-15,0.01019151547248387
2015-09-16,-0.011097446353092733
2015-09-17,0.007345063581736255
2015-09-18,0.004456321315623679
2015-09-21,-0.028836567214358233
2015-09-22,-0.031353629831070484
2015-09-23,-0.026581160811891658
2015-09-24,0.0033034207974076413
2015-09-25,-0.04280057080376587
2015-09-28,-0.0630590695409291
2015-09-29,-0.025942183496787674
2015-09-30,0.011557809850905487
2015-10-01,0.028564212970736635
2015-10-02,0.054334520239363915
2015-10-05,0.005497370000854707
2015-10-06,-0.02391807071079033
