Date,EBAY
2015-09-01,-0.023238668677263763
2015-09-02,0.014728077244920756
2015-09-03,0.006326849788659938
2015-09-04,-0.02071012928684335
2015-09-08,-0.004531697521712563
2015-09-09,-0.006069662035835699
2015-09-10,-0.0019088399906812548
2015-09-11,0.006501132953879996
2015-09-14,-0.021656440144695477
2015-09-15,0.008931997415472681
2015-09-16,0.02925308741525101
2015-09-17,-0.017576579613514776
2015-09-18,-0.009516420822148541
2015-09-21,-0.003843190370840799
2015-09-22,-0.011959928068438486
2015-09-23,-0.0007807606347670637
2015-09-24,0.0007813706982493507
2015-09-25,-0.010933225928867807
2015-09-28,-0.04697978849156348
2015-09-29,-0.00248544359241587
2015-09-30,0.014950083722060192
2015-10-01,0.01923058495954688
2015-10-02,0.024889885010003
2015-10-05,0.008225425543625153
