Date,PH
2015-09-02,0.008327188691041432
2015-09-03,-0.012011856111495356
2015-09-04,-0.014057983924826933
2015-09-08,0.030924818942918986
2015-09-09,-0.014390832230068318
2015-09-10,-0.0030341892911786017
2015-09-11,0.010461150474155634
2015-09-14,-0.012329259106926393
2015-09-15,0.030779224585171017
2015-09-16,0.006286592145522851
2015-09-17,-0.019935750911225014
2015-09-18,-0.04443208966043255
2015-09-21,0.005297477598521283
2015-09-22,-0.0074158829836973306
2015-09-23,-0.011109358018445037
2015-09-24,-0.026642674022287594
2015-09-25,-0.012154020708620483
2015-09-28,-0.01912728101305905
2015-09-29,0.017181496628779325
2015-09-30,0.008289825577505905
2015-10-01,-0.012846784581057147
2015-10-02,0.0217595289303103
2015-10-05,0.04065617479381478
2015-10-06,0.0034271655765720777
