Date,AIZ
2015-09-02,0.012466960616223988
2015-09-03,0.0005468093407856589
2015-09-04,-0.009434647659949169
2015-09-08,0.018497813670743657
2015-09-09,-0.006234791194567824
2015-09-10,0.02918706992134812
2015-09-11,0.018022763982044054
2015-09-14,-0.002342860182153572
2015-09-15,0.015135438851184624
2015-09-16,-0.011311024955772186
2015-09-17,-0.003509993265004452
2015-09-18,-0.015003203189945413
2015-09-21,0.010861010051955278
2015-09-22,-0.009434051324391679
2015-09-23,0.010581763012311063
2015-09-24,0.007591798650111725
2015-09-25,0.014419528519296065
2015-09-28,-0.018824193713137483
2015-09-29,0.010832193547858804
2015-09-30,0.02014246140719944
2015-10-01,-0.006581780597743392
2015-10-02,-0.0030578620170708115
2015-10-05,0.018275016900300756
2015-10-06,0.005898494556712208
2015-10-07,-0.0013722851522944834
