Date,D
2015-09-02,0.004277480247109944
2015-09-03,0.0
2015-09-04,-0.012630463669097702
2015-09-08,0.022162703178452148
2015-09-09,-0.009313210426765917
2015-09-10,-0.011897570210815722
2015-09-11,0.007284194249202347
2015-09-14,0.005165150291745801
2015-09-15,-0.00044063945502370583
2015-09-16,0.009841425064785803
2015-09-17,0.010327621601558201
2015-09-18,-0.006622538116490828
2015-09-21,0.004637455219767439
2015-09-22,-0.0034623291346469465
2015-09-23,0.0020268839957247042
2015-09-24,0.0028890094004005995
2015-09-25,0.009219384671076414
2015-09-28,-0.0089922344608524
2015-09-29,-0.0020164991150152245
2015-09-30,0.015730951244477875
2015-10-01,-0.017334403905468254
2015-10-02,0.0027474812310084307
2015-10-05,0.01398679628638555
2015-10-06,-0.007679272700347184
2015-10-07,0.0
