Date,CVX
2015-09-01,-0.03457232321528669
2015-09-02,-0.0016627746591748593
2015-09-03,0.002562472560044382
2015-09-04,-0.02031717903194108
2015-09-08,0.002217465114289885
2015-09-09,-0.0249866558908588
2015-09-10,0.00987701859992196
2015-09-11,0.0017181462274133974
2015-09-14,-0.00026415903107446237
2015-09-15,0.018477133655443678
2015-09-16,0.023973509983488794
2015-09-17,0.004935119432412094
2015-09-18,-0.021030178174369252
2015-09-21,0.004502281730359492
2015-09-22,-0.010757074579569759
2015-09-23,-0.014627688393889393
2015-09-24,0.010115683479868132
2015-09-25,0.010534312289571357
2015-09-28,-0.024839158432513386
2015-09-29,0.006335222589852307
2015-09-30,0.03449179688194448
2015-10-01,-0.006845773818834999
2015-10-02,0.04097509357057483
2015-10-05,0.0304108804723624
