Date,AFL
2015-09-01,-0.03327608808133198
2015-09-02,0.014121367432790466
2015-09-03,0.001740695932157088
2015-09-04,-0.020156150813328666
2015-09-08,0.020925547011424905
2015-09-09,-0.01007482366450696
2015-09-10,0.012458570836650917
2015-09-11,0.007625542260968121
2015-09-14,-0.005847713527979415
2015-09-15,0.013321817255099289
2015-09-16,0.004609716998303703
2015-09-17,-0.012406607102497968
2015-09-18,-0.016520303279687454
2015-09-21,0.00962378716986989
2015-09-22,-0.011438646450012024
2015-09-23,0.006662273890730708
2015-09-24,0.0012189141539880044
2015-09-25,0.005913996511337061
2015-09-28,-0.014179580437148731
2015-09-29,0.012454368589712717
2015-09-30,0.007103174487569364
2015-10-01,-0.0029245244579422236
2015-10-02,0.008799058489468381
2015-10-05,0.014537348286835838
2015-10-06,0.0018546877272802575
