Date,PKG
2015-09-02,0.007997426330821567
2015-09-03,-0.0006100636502627266
2015-09-04,-0.014198838699142069
2015-09-08,0.02493454493263436
2015-09-09,-0.011484177967821307
2015-09-10,0.006114507884754206
2015-09-11,0.003983529011336362
2015-09-14,0.00457801039438821
2015-09-15,0.006076300547858349
2015-09-16,-0.0009060638636805285
2015-09-17,-0.010125214200897292
2015-09-18,-0.019236901320915933
2015-09-21,-0.0012451639538847425
2015-09-22,-0.021040898528482566
2015-09-23,-0.0054134648039295685
2015-09-24,-0.023531234936918444
2015-09-25,0.004917983996284292
2015-09-28,-0.03197409489129288
2015-09-29,0.0025279968781182216
2015-09-30,0.01126232324337706
2015-10-01,0.01795198596076153
2015-10-02,0.02106485287705895
2015-10-05,0.01759176473628754
2015-10-06,-0.01257293469932741
