Date,MSCI
2015-09-02,0.02271166265175384
2015-09-03,-0.0036732864975853596
2015-09-04,-0.016926628018580803
2015-09-08,0.03852726556735475
2015-09-09,-0.013624473563819017
2015-09-10,0.012814135063523802
2015-09-11,0.0026289846691909258
2015-09-14,-0.019174029101842516
2015-09-15,0.014703177726668404
2015-09-16,-0.0013169922864872952
2015-09-17,0.0009893089476706862
2015-09-18,-0.009718275676024901
2015-09-21,0.02827632667293334
2015-09-22,-0.013749381338197031
2015-09-23,0.00721671681250502
2015-09-24,-0.015307152497893384
2015-09-25,0.014056827810432937
2015-09-28,-0.03881312180890817
2015-09-29,-0.011876227732477651
2015-09-30,0.0209477764214423
2015-10-01,-0.025395364333049897
2015-10-02,0.010699018126832938
2015-10-05,0.011268505354270264
2015-10-06,-0.010467589608808003
