Date,PSA
2015-09-02,0.01683459432915413
2015-09-03,0.0044475432257720104
2015-09-04,-0.01820406166434474
2015-09-08,0.021698852330097385
2015-09-09,-0.017853986485343754
2015-09-10,-0.0001495810717028201
2015-09-11,0.01853776980543098
2015-09-14,-0.0025220583400059615
2015-09-15,0.011106611437014413
2015-09-16,0.00760082694963371
2015-09-17,0.009441923978254163
2015-09-18,-0.0021214712803576674
2015-09-21,0.01232067328325459
2015-09-22,-0.01088192538760413
2015-09-23,0.005597380851460443
2015-09-24,-0.01314787472107759
2015-09-25,0.0175049535761147
2015-09-28,-0.009987978076487991
2015-09-29,0.010088744232703561
2015-09-30,0.011325574575970387
2015-10-01,0.010962538132415212
2015-10-02,0.010563020976999349
2015-10-05,0.018037896252976804
2015-10-06,-0.013447679368972953
