Date,WFC
2015-09-01,-0.0438782164877326
2015-09-02,0.019611969317952838
2015-09-03,0.008462858477247481
2015-09-04,-0.021743069814455174
2015-09-08,0.03197476897655083
2015-09-09,-0.013980702167311065
2015-09-10,0.007089611594032874
2015-09-11,0.001141798797474003
2015-09-14,0.0028507149045757796
2015-09-15,0.01326529725799741
2015-09-16,0.0046750649885096696
2015-09-17,-0.028109007234377703
2015-09-18,-0.022409178181864498
2015-09-21,0.009992097164898572
2015-09-22,-0.016682815330138823
2015-09-23,0.0017755332786275613
2015-09-24,-0.004529475868274346
2015-09-25,0.01839795896910834
2015-09-28,-0.021562356641725233
2015-09-29,0.010324135799055112
2015-09-30,0.009038676575168214
2015-10-01,0.0017528109772841916
2015-10-02,-0.0034989983555324677
2015-10-05,0.022434521264306007
2015-10-06,-0.0072504549076050084
