Date,ADI
2015-09-02,0.01942113672336987
2015-09-03,0.010624547675963658
2015-09-04,-0.02193231374697402
2015-09-08,0.07060788985958588
2015-09-09,-0.025964722615844704
2015-09-10,-0.004620793214572316
2015-09-11,0.006070231405755022
2015-09-14,0.021473040843809743
2015-09-15,0.012855972252568293
2015-09-16,0.0025730832596879694
2015-09-17,-0.008896588618707124
2015-09-18,-0.021750310431832398
2015-09-21,-0.0007058421488480571
2015-09-22,-0.02560458435051427
2015-09-23,0.00036224034882792466
2015-09-24,-0.021739170672387287
2015-09-25,0.008148163564946964
2015-09-28,-0.01781779315629195
2015-09-29,0.010847267958760343
2015-09-30,0.043663096699301684
2015-10-01,-0.0260590349829527
2015-10-02,0.013651470921139497
2015-10-05,0.031244146861550304
2015-10-06,-0.009402728040516006
