Date,SLB
2015-09-01,-0.025203719238592992
2015-09-02,-0.00013206296266576878
2015-09-03,0.011271593947400405
2015-09-04,-0.01652276597828506
2015-09-08,0.007200199679251451
2015-09-09,-0.015091366312354304
2015-09-10,-0.004435444834610558
2015-09-11,-0.004995458673932807
2015-09-14,-0.011669019153177085
2015-09-15,0.010296577567114218
2015-09-16,0.034923766789209276
2015-09-17,-0.011292165576220148
2015-09-18,-0.0366535971952443
2015-09-21,0.004549174394089084
2015-09-22,-0.004117003716807455
2015-09-23,-0.00868111022087803
2015-09-24,0.01042525005365591
2015-09-25,0.002889156500629708
2015-09-28,-0.04842228006120497
2015-09-29,-0.00389253194287309
2015-09-30,-0.001881110118829965
2015-10-01,-0.01913865737003373
2015-10-02,0.039467586216318296
2015-10-05,0.02517064761093346
2015-10-06,0.025662267228423685
