Date,O
2015-09-02,0.0066002596511252065
2015-09-03,-0.001357015644747106
2015-09-04,-0.017885371611095935
2015-09-08,0.021438711543846356
2015-09-09,-0.007673354693946477
2015-09-10,0.005230997727047715
2015-09-11,0.019909114649000914
2015-09-14,0.00598940356917943
2015-09-15,0.009923294276175554
2015-09-16,0.010480396095860156
2015-09-17,0.013180219203527743
2015-09-18,0.012796248034421476
2015-09-21,0.0037899541739914167
2015-09-22,-0.011118353488635213
2015-09-23,0.004030862205147034
2015-09-24,-0.007606582094225156
2015-09-25,0.0019165513583832006
2015-09-28,-0.00892451446970155
2015-09-29,0.01423034517305899
2015-09-30,0.005943265942116582
2015-10-01,-0.000843305258982352
2015-10-02,-0.028511243151610577
2015-10-05,0.024130100534927923
2015-10-06,-0.0025466553190776064
