Date,PSX
2015-09-02,0.012501769919457173
2015-09-03,-0.0012731438287013619
2015-09-04,-0.01605889860625176
2015-09-08,0.03471496414756081
2015-09-09,0.009639706774868584
2015-09-10,0.00458754350007351
2015-09-11,-0.00518407498246054
2015-09-14,-0.029652394434392715
2015-09-15,0.012786025509291754
2015-09-16,-0.00025181840545096534
2015-09-17,0.0015145495904926864
2015-09-18,-0.009078470295650343
2015-09-21,0.008525629283615777
2015-09-22,-0.013752123052574006
2015-09-23,-0.004093795581192716
2015-09-24,-0.002569016352434006
2015-09-25,0.003734516115118991
2015-09-28,-0.04914049257147224
2015-09-29,0.005397475996915535
2015-09-30,0.03127120097189473
2015-10-01,0.0141855191123883
2015-10-02,0.019889557022645832
2015-10-05,0.02944127350178305
2015-10-06,0.009288679619667617
2015-10-07,0.007992359481984623
