Date,SWKS
2015-09-03,-0.0046651603489276106
2015-09-04,-0.023083974178977562
2015-09-08,0.052296321592836925
2015-09-09,-0.014931818375664041
2015-09-10,0.019092539436019074
2015-09-11,0.001021967314877692
2015-09-14,0.01519974817977321
2015-09-15,0.024134704984490662
2015-09-16,-0.001527685700285386
2015-09-17,-0.00852353477930845
2015-09-18,-0.015097534796551293
2015-09-21,-0.0016783643261011338
2015-09-22,-0.0282452081747655
2015-09-23,0.01637875270277278
2015-09-24,-0.020086407488928648
2015-09-25,0.01644449398890635
2015-09-28,-0.05765018502600283
2015-09-29,0.0016923261297410175
2015-09-30,0.016415660618727124
2015-10-01,-0.009975061797005247
2015-10-02,0.00827608092941201
2015-10-05,-0.026052770192800834
2015-10-06,-0.014168693763987439
2015-10-07,0.0359307700698317
