Date,ED
2015-09-02,0.0011367311573438066
2015-09-03,0.0037306951755859963
2015-09-04,-0.016483331630676168
2015-09-08,0.024318096036642922
2015-09-09,-0.016682657883181462
2015-09-10,0.004404180868290863
2015-09-11,0.013318461669121318
2015-09-14,0.004007059073214414
2015-09-15,0.0003194207004919569
2015-09-16,0.014203653332139687
2015-09-17,0.01510597145612036
2015-09-18,0.008370819951073472
2015-09-21,-0.0003072524445245639
2015-09-22,-0.0006154460320364485
2015-09-23,0.008308996130748536
2015-09-24,0.006409518912398271
2015-09-25,0.004700511846516209
2015-09-28,-0.006640462052188045
2015-09-29,0.0012150448533481129
2015-09-30,0.014416024242042358
2015-10-01,-0.018249776172018284
2015-10-02,0.015389187168328267
2015-10-05,0.00660276061609788
2015-10-06,-0.02131778752807456
2015-10-07,-0.003655650203490013
