Date,DD
2015-09-01,-0.04798888559027703
2015-09-02,0.017523182099756562
2015-09-03,0.010379576171754223
2015-09-04,-0.017511420671717404
2015-09-08,0.04776633204200653
2015-09-09,-0.00680451607245236
2015-09-10,-0.0006849592375220981
2015-09-11,0.0004571582736117019
2015-09-14,-0.015988831429107675
2015-09-15,0.012302623337828056
2015-09-16,0.03141452720162419
2015-09-17,-0.016896250948415625
2015-09-18,-0.020578896640131683
2015-09-21,0.016393061708873002
2015-09-22,-0.009540783941944686
2015-09-23,-0.023394510157475068
2015-09-24,-0.00211350880212291
2015-09-25,-0.004001036063448482
2015-09-28,-0.044868539077756675
2015-09-29,0.013493003239620771
2015-09-30,0.04536474258718304
2015-10-01,0.01367928032159127
2015-10-02,0.034201937546844974
2015-10-05,0.041844803197213176
2015-10-06,0.01662702179290032
