Date,MPC
2015-09-03,0.0036319265320643446
2015-09-04,-0.013622586383816637
2015-09-08,0.02977944417708933
2015-09-09,-0.005657603115804211
2015-09-10,0.014962854452233998
2015-09-11,-0.006021850483044822
2015-09-14,-0.028201118168747263
2015-09-15,0.015692139744586386
2015-09-16,-0.012275213444379984
2015-09-17,0.003428603289657106
2015-09-18,-0.01580185738420581
2015-09-21,0.0017354224346117775
2015-09-22,-0.004981499028453795
2015-09-23,0.006965602924495107
2015-09-24,0.008862918395449615
2015-09-25,0.014141957067187017
2015-09-28,-0.04859484790393298
2015-09-29,0.011325668622313323
2015-09-30,0.017347599388597645
2015-10-01,0.03453482649685635
2015-10-02,0.009596933984595157
2015-10-05,0.04525729856510963
2015-10-06,-0.010675913081396704
2015-10-07,0.0049959246126665136
