Date,DXCM
2015-09-03,-0.015217640914793162
2015-09-04,0.0034086514609887875
2015-09-08,0.031027126813655048
2015-09-09,-0.002306498702123183
2015-09-10,0.061536814097751025
2015-09-11,0.010162847182745294
2015-09-14,-0.017246691736130915
2015-09-15,0.01034156303200251
2015-09-16,0.00775434233389416
2015-09-17,0.045552502162718556
2015-09-18,-0.018742062540220705
2015-09-21,-0.0011000061035155717
2015-09-22,-0.02442689414671384
2015-09-23,0.03181124885167619
2015-09-24,-0.034908026153153915
2015-09-25,-0.051319077802448265
2015-09-28,-0.07853569323567888
2015-09-29,-0.02169048600222434
2015-09-30,0.03458251380236477
2015-10-01,-0.0020964395981389883
2015-10-02,0.012021460966715969
2015-10-05,-0.024795312519659718
2015-10-06,-0.05250703571668314
2015-10-07,-0.018222653949358958
