Date,FI
2015-09-02,0.02787495453159039
2015-09-03,0.0064569505727554155
2015-09-04,-0.0188965669327833
2015-09-08,0.02924740300346529
2015-09-09,-0.016864954252274855
2015-09-10,0.009517066769886062
2015-09-11,0.0017458278523698745
2015-09-14,-0.009991874211697893
2015-09-15,0.017486185656362174
2015-09-16,0.006920485866612092
2015-09-17,0.003436373561011452
2015-09-18,-0.012214608601167076
2015-09-21,0.01479254359591109
2015-09-22,-0.017423970183758852
2015-09-23,0.012749171183171537
2015-09-24,0.0029755338109751506
2015-09-25,0.0015974371362783568
2015-09-28,-0.03702437964451788
2015-09-29,0.002720967233586835
2015-09-30,0.021826314623584864
2015-10-01,0.01039142731250986
2015-10-02,0.008113347813286209
2015-10-05,0.012922232757585972
2015-10-06,-0.010631120655253623
2015-10-07,0.012894461513714539
