Date,SHW
2015-09-01,-0.028458746839613358
2015-09-02,0.022492390543691787
2015-09-03,0.006886625021881088
2015-09-04,-0.007855882646076728
2015-09-08,0.03060793402865758
2015-09-09,-0.016626855283457642
2015-09-10,-0.006296695750281023
2015-09-11,0.0
2015-09-14,-0.014511417366700585
2015-09-15,-0.005080444939768558
2015-09-16,-0.00015945269911710191
2015-09-17,0.010134164727299888
2015-09-18,-0.02575295949751555
2015-09-21,-0.00964938222706091
2015-09-22,-0.02873900088549297
2015-09-23,-0.01951528646708045
2015-09-24,-0.020720368590154692
2015-09-25,-0.001360868155288908
2015-09-28,-0.030462687490100393
2015-09-29,-0.007344888472634925
2015-09-30,0.017538723865885952
2015-10-01,0.04102699054662273
2015-10-02,0.021904549988722932
2015-10-05,0.017595016261900076
