Date,RCL
2015-09-03,0.001570394029113853
2015-09-04,-0.008399854126211581
2015-09-08,0.03388335892756644
2015-09-09,0.003386284838525322
2015-09-10,0.005008041646872519
2015-09-11,0.005958039802022919
2015-09-14,0.008400138860853001
2015-09-15,0.02189242525605728
2015-09-16,0.01463575468129874
2015-09-17,-0.002481971079472234
2015-09-18,-0.010158713391513863
2015-09-21,0.017907782227029267
2015-09-22,-0.04938251191127152
2015-09-23,0.014285226562094522
2015-09-24,-0.02304703060680624
2015-09-25,-0.005351648477852966
2015-09-28,-0.04095748900156815
2015-09-29,-0.017059714776775925
2015-09-30,0.03774006152721032
2015-10-01,0.008867629352860673
2015-10-02,0.015242271834607468
2015-10-05,0.023452299800594156
2015-10-06,-0.032980316515030084
2015-10-07,0.008636987252541806
