Date,NUE
2015-09-03,0.0018690128936083017
2015-09-04,-0.028218343391945067
2015-09-08,0.02135802276803278
2015-09-09,-0.023731409644503487
2015-09-10,0.006739396477665194
2015-09-11,0.006932862039392473
2015-09-14,-0.03300079155800284
2015-09-15,0.004173382533263492
2015-09-16,0.01809316195743027
2015-09-17,-0.006964496090011485
2015-09-18,-0.026602388549676892
2015-09-21,0.0009937116085458886
2015-09-22,-0.028790892420328396
2015-09-23,-0.017122748345871353
2015-09-24,0.00442027442445192
2015-09-25,-0.0031063405741666994
2015-09-28,-0.02981350363391
2015-09-29,0.004324377592721973
2015-09-30,0.010494881344739193
2015-10-01,0.0015982409000949716
2015-10-02,0.010369628990773316
2015-10-05,0.04789446512979123
2015-10-06,0.0025113620639145573
2015-10-07,0.016532999387973923
