Date,MDLZ
2015-09-03,0.022948419414806853
2015-09-04,-0.015494920626170416
2015-09-08,0.008456775877759837
2015-09-09,-0.021896562060131464
2015-09-10,0.009288160264414591
2015-09-11,0.007078815518538395
2015-09-14,-0.009371966229369755
2015-09-15,0.01679270696190094
2015-09-16,0.001163172400020951
2015-09-17,0.01579915489685324
2015-09-18,-0.019899263920231336
2015-09-21,0.0
2015-09-22,-0.020070355227967407
2015-09-23,0.006906751783257503
2015-09-24,-0.003548115639841698
2015-09-25,0.015903171234490143
2015-09-28,-0.02721044209285628
2015-09-29,-0.015915207393453312
2015-09-30,0.02597401393348253
2015-10-01,0.008120541544142101
2015-10-02,0.03198264356060232
2015-10-05,0.016758605272155336
2015-10-06,-0.008805440450886381
2015-10-07,0.009794547739464976
2015-10-08,0.022107153221125886
