Date,GILD
2015-09-02,0.027391988604381412
2015-09-03,-0.022633526292587858
2015-09-04,0.0014715453217315488
2015-09-08,0.02782699696265456
2015-09-09,-0.010295662632971658
2015-09-10,0.033038220731582246
2015-09-11,0.022190648374860622
2015-09-14,0.0013739282709595013
2015-09-15,0.015546577734117939
2015-09-16,-0.00018019664963986326
2015-09-17,0.005223932994665281
2015-09-18,-0.028402593296174894
2015-09-21,-0.024898570889716476
2015-09-22,0.007281942635062766
2015-09-23,-0.009576103344180575
2015-09-24,-0.02824933737021984
2015-09-25,-0.02312010732803338
2015-09-28,-0.053325053846906334
2015-09-29,0.012658282407187915
2015-09-30,0.02281226107369183
2015-10-01,0.0008149695963337589
2015-10-02,0.00010154204951473567
2015-10-05,0.009971664110685285
2015-10-06,-0.017327978992843773
