Date,CTRA
2015-09-01,-0.02703819930949458
2015-09-02,0.012592249496148789
2015-09-03,0.0038591929022187
2015-09-04,-0.02691148952126743
2015-09-08,0.003072709734215806
2015-09-09,-0.01531750187539005
2015-09-10,0.02444469495852397
2015-09-11,0.004338295719434004
2015-09-14,-0.03844498651601613
2015-09-15,0.02291141271260977
2015-09-16,0.0417212826714386
2015-09-17,-0.0008430641061595301
2015-09-18,-0.00886073110367569
2015-09-21,0.017880110809848082
2015-09-22,0.0004183980760379402
2015-09-23,-0.014214622986499115
2015-09-24,0.022900836032565985
2015-09-25,-0.012437742553577769
2015-09-28,-0.04701912914090178
2015-09-29,-0.05110152363890985
2015-09-30,0.014856426569318959
2015-10-01,-0.029277239129254395
2015-10-02,0.03298753366529317
2015-10-05,0.04470792533693957
