Date,CZR
2015-09-04,-0.01916936087268406
2015-09-08,0.015200905835275336
2015-09-09,-0.031016037435438237
2015-09-10,0.011037463925375857
2015-09-11,0.009825344332655028
2015-09-14,-0.01081085205078125
2015-09-15,0.01530058460759176
2015-09-16,0.009687852847949818
2015-09-17,0.04157786125421592
2015-09-18,-0.05015360305363181
2015-09-21,0.023706926008538964
2015-09-22,-0.028421100817228595
2015-09-23,-0.0010833451466344401
2015-09-24,0.00867678106172498
2015-09-25,-0.026881719878786958
2015-09-28,-0.02817680763167052
2015-09-29,0.025582760604652366
2015-09-30,0.0
2015-10-01,0.004434585346234421
2015-10-02,0.020971255141656986
2015-10-05,-0.027027027027026973
2015-10-06,0.006666713290744308
2015-10-07,0.02207503311281278
2015-10-08,-0.009719238700144017
2015-10-09,0.0021809709839650804
