Date,CDNS
2015-09-02,0.010649137887092985
2015-09-03,0.029603619847144103
2015-09-04,-0.011208554439837148
2015-09-08,0.02759977529196811
2015-09-09,-0.011510780178760172
2015-09-10,0.007763214103533311
2015-09-11,-0.005777604072634612
2015-09-14,0.0009685451880456775
2015-09-15,0.022738234717934347
2015-09-16,0.0028382864249465456
2015-09-17,-0.003301962247813872
2015-09-18,-0.015144330692562602
2015-09-21,0.012974553805518152
2015-09-22,0.006166943132689839
2015-09-23,-0.0014143696648641901
2015-09-24,-0.006137916253167619
2015-09-25,-0.004275541845599529
2015-09-28,-0.022900742519207262
2015-09-29,-0.0019530766148807555
2015-09-30,0.011741671470031134
2015-10-01,-0.007736936414457607
2015-10-02,0.01413250495659657
2015-10-05,0.023546361542204686
2015-10-06,0.0009389886610358111
