Date,ROL
2015-09-02,0.020810523570328643
2015-09-03,0.014663456208655612
2015-09-04,-0.007754125409276114
2015-09-08,0.014564568105551956
2015-09-09,0.002100886296451332
2015-09-10,-0.01118083844264084
2015-09-11,0.008127068420196615
2015-09-14,-0.008762954109765908
2015-09-15,0.011669281521718755
2015-09-16,0.004194343816420254
2015-09-17,-0.001392274925747894
2015-09-18,-0.01917057713262782
2015-09-21,0.009595266739828912
2015-09-22,-0.013375889036279509
2015-09-23,-0.006064743890369817
2015-09-24,-0.010050440112473802
2015-09-25,-0.000725031543695076
2015-09-28,-0.03011608655858722
2015-09-29,-0.017583287116229918
2015-09-30,0.023229070345521352
2015-10-01,-0.0029769395727773373
2015-10-02,0.003732421908985817
2015-10-05,0.004834768143155754
2015-10-06,-0.021095760858225066
