Date,ULTA
2015-09-02,0.030892300791470317
2015-09-03,0.002649663639520128
2015-09-04,-0.007739229750348464
2015-09-08,0.04381739883214619
2015-09-09,-0.007350748492683579
2015-09-10,0.008751578873841481
2015-09-11,0.001395351119238608
2015-09-14,-0.012480295583807255
2015-09-15,0.0065030525067100164
2015-09-16,0.004022940826106325
2015-09-17,0.020762494800877107
2015-09-18,-0.005412178335986173
2015-09-21,0.008730531311176515
2015-09-22,-0.01725059944272722
2015-09-23,0.013994494759934195
2015-09-24,-0.0005354645652080325
2015-09-25,0.006785306987210582
2015-09-28,-0.0283180222227154
2015-09-29,-0.016123107122436142
2015-09-30,0.010141607331389801
2015-10-01,0.01371282614434377
2015-10-02,0.00102662100794082
2015-10-05,0.01375481934637035
2015-10-06,-0.01267549219903008
2015-10-07,-0.005183536805309363
