Date,PLTR
2021-06-04,0.016927699538095586
2021-06-07,0.017894231607996414
2021-06-08,-0.003270642955863323
2021-06-09,-0.008613580463554538
2021-06-10,-0.0012412365143074089
2021-06-11,0.021955289977048542
2021-06-14,0.0133765675997366
2021-06-15,-0.023600006103515647
2021-06-16,0.015977033678260533
2021-06-17,0.026209739753038308
2021-06-18,-0.0031434153755528493
2021-06-21,0.0019708015532748924
2021-06-22,-0.0007868000670198105
2021-06-23,0.034252002059035336
2021-06-24,0.009897229705033928
2021-06-25,0.009423294139824234
2021-06-28,0.022404722133569477
2021-06-29,-0.027392257961595945
2021-06-30,-0.010138886929175084
2021-07-01,-0.06221552575962541
2021-07-02,-0.011326811774853507
2021-07-06,0.009819957687141612
2021-07-07,-0.07252839924608723
2021-07-08,0.008300591486408715
