Date,ODFL
2015-09-02,0.01599884038613153
2015-09-03,0.013453686670718223
2015-09-04,-0.0033187719497362878
2015-09-08,0.023005902096908004
2015-09-09,-0.012280212382052569
2015-09-10,0.020521370244062087
2015-09-11,-0.0046968625275077835
2015-09-14,-0.007816082708223093
2015-09-15,0.017241397542457015
2015-09-16,-0.0021914356853431904
2015-09-17,-0.0070290026885097
2015-09-18,-0.035540334422895614
2015-09-21,0.00917428780738061
2015-09-22,-0.029545377576720266
2015-09-23,-0.0073384294494678315
2015-09-24,-0.043409499068944535
2015-09-25,0.010358114680220076
2015-09-28,-0.010414593301366182
2015-09-29,0.007399883470701196
2015-09-30,-0.004244162087446823
2015-10-01,0.0019670136916321024
2015-10-02,0.01685237780716542
2015-10-05,0.016250740150807186
2015-10-06,-0.006174685619428577
