Date,FRT
2015-09-02,0.00940958930354241
2015-09-03,0.005091441202886404
2015-09-04,-0.015898865018502017
2015-09-08,0.014888536985016465
2015-09-09,-0.014670120355528504
2015-09-10,0.0036427550808122433
2015-09-11,0.020753127782702663
2015-09-14,0.0016231173772836005
2015-09-15,0.017210582418237808
2015-09-16,0.015705622639502037
2015-09-17,0.005602381368226217
2015-09-18,0.00800427252653102
2015-09-21,0.009870244065546263
2015-09-22,-0.016975155950024523
2015-09-23,0.004186427657017822
2015-09-24,-0.005360203263484298
2015-09-25,0.008607124639488761
2015-09-28,-0.009275877673632138
2015-09-29,0.012583334706683935
2015-09-30,0.009320545451262374
2015-10-01,-0.006229588394860541
2015-10-02,0.014159252600449701
2015-10-05,0.01519815728581575
2015-10-06,-0.007163017112518877
