Date,WTW
2015-09-01,-0.014156075515010969
2015-09-02,0.0035309302909811713
2015-09-03,0.00023471883101078284
2015-09-04,-0.008911965944805589
2015-09-08,0.026975834815907707
2015-09-09,0.0009216012274038121
2015-09-10,-0.00644549965964647
2015-09-11,-0.014133732217148975
2015-09-14,-0.00705040258699785
2015-09-15,0.006863950510067163
2015-09-16,0.009167896547366272
2015-09-17,-0.005823457820101963
2015-09-18,-0.01921271699969551
2015-09-21,0.008599955613235455
2015-09-22,-0.0063949108217935535
2015-09-23,-0.0026224034147067643
2015-09-24,-0.020793318300394104
2015-09-25,0.004881396222541801
2015-09-28,-0.009544563588521848
2015-09-29,0.003211906582825108
2015-09-30,0.009113627122680379
2015-10-01,0.00024409189427698763
2015-10-02,0.012445324646041644
2015-10-05,0.015424885975655833
