Date,EVRG
2015-09-02,0.002817895736474174
2015-09-03,0.008710409043439338
2015-09-04,-0.013787675002805977
2015-09-08,0.025392489805517116
2015-09-09,-0.010851261400335876
2015-09-10,0.0
2015-09-11,0.017440185137253428
2015-09-14,-0.003870732368040919
2015-09-15,0.004440690856420959
2015-09-16,0.01326332416390219
2015-09-17,0.016361991552758637
2015-09-18,-0.005366074763883177
2015-09-21,0.004316180178720375
2015-09-22,-0.007789678040037162
2015-09-23,0.010016482356333567
2015-09-24,0.007504709852390157
2015-09-25,0.01303525357526647
2015-09-28,-0.005514703014136035
2015-09-29,0.000264156212741673
2015-09-30,0.01478363662160409
2015-10-01,-0.016649405212272983
2015-10-02,0.009523803399649644
2015-10-05,0.009696104961397722
2015-10-06,-0.009343502225686473
2015-10-07,0.004191582490081558
