Date,DLTR
2015-09-02,-0.029576527535650876
2015-09-03,-0.008729048229876524
2015-09-04,0.016268602058069126
2015-09-08,0.010280578870396795
2015-09-09,-0.012356424811868716
2015-09-10,-0.027671545705843625
2015-09-11,0.006055124745109275
2015-09-14,-0.016852283509039334
2015-09-15,0.013774128808100361
2015-09-16,0.022192048129686892
2015-09-17,0.0017723046552151622
2015-09-18,-0.01739643628662768
2015-09-21,0.018004454925274915
2015-09-22,0.019602090802728123
2015-09-23,0.010263068536290998
2015-09-24,-0.00915723844952887
2015-09-25,0.012418781376917876
2015-09-28,-0.020111305802801405
2015-09-29,-0.03580784852619412
2015-09-30,0.006340667449954207
2015-10-01,0.011701151161805923
2015-10-02,-0.007265798864550699
2015-10-05,0.01747581555895139
2015-10-06,-0.04301233392599646
