Date,IR
2018-01-16,0.01562477822723718
2018-01-17,-0.003988689777695509
2018-01-18,0.006865246423311655
2018-01-19,0.020454546444275135
2018-01-22,0.007516597454594542
2018-01-23,0.013816161628569246
2018-01-24,-0.011447295251791001
2018-01-25,-0.009098463672763013
2018-01-26,0.009460306580810762
2018-01-29,-0.0011025592409051876
2018-01-30,-0.021247322116014544
2018-01-31,-0.0250913518255077
2018-02-01,0.013301991331264196
2018-02-02,-0.024828591180327098
2018-02-05,-0.019315264974225754
2018-02-06,-0.0035808686557001757
2018-02-07,-0.017370380933634855
2018-02-08,-0.03779345607380313
2018-02-09,0.005701554840388701
2018-02-12,0.029921657678217972
2018-02-13,0.011620570109573736
2018-02-14,0.012998545072122614
2018-02-15,0.030438755904310666
2018-02-16,-0.04865338551149334
