Date,EPAM
2015-09-02,0.0050659447397258806
2015-09-03,-0.0011521000610879018
2015-09-04,-0.005767034636086854
2015-09-08,0.05234919748083944
2015-09-09,-0.01171280801564778
2015-09-10,0.025794735675312097
2015-09-11,0.01060213106609198
2015-09-14,-0.011028913404882434
2015-09-15,0.008023989896369654
2015-09-16,0.006610872175016658
2015-09-17,0.0013402824460937435
2015-09-18,0.008164912566279714
2015-09-21,-0.007434911854257931
2015-09-22,-0.03183527039600087
2015-09-23,0.005526409796320131
2015-09-24,-0.004121948713863066
2015-09-25,-0.006484564002964599
2015-09-28,-0.021802522541994218
2015-09-29,-0.009227732869822036
2015-09-30,0.0677746907220158
2015-10-01,0.008990953147099745
2015-10-02,0.005984797627754501
2015-10-05,0.037149624289636085
2015-10-06,-0.007775661364958553
