Date,MSI
2015-09-02,0.013625695050278885
2015-09-03,0.0060260362995712136
2015-09-04,0.018430073130075275
2015-09-08,0.04976658353265173
2015-09-09,-0.018819238751847767
2015-09-10,0.011566692257410027
2015-09-11,-0.024291132903526802
2015-09-14,-0.003577631151939542
2015-09-15,0.004637879597693573
2015-09-16,0.004765777263906923
2015-09-17,-0.006521746315570343
2015-09-18,0.0008951247538955265
2015-09-21,-0.0005961053519650816
2015-09-22,-0.0070095963222833735
2015-09-23,0.01832359165439912
2015-09-24,0.0016227645134443414
2015-09-25,0.018995166651835094
2015-09-28,-0.01835220825826167
2015-09-29,-0.00706625250221804
2015-09-30,0.01378794039235065
2015-10-01,-0.009066858789211873
2015-10-02,0.0094450231881813
2015-10-05,0.01973713981525993
2015-10-06,-0.008028998158585265
