Date,CB
2015-09-01,-0.023884314267093698
2015-09-02,0.009125274777254111
2015-09-03,0.010335076566905244
2015-09-04,-0.014851911301004717
2015-09-08,0.018070946033575064
2015-09-09,-0.012160149990301239
2015-09-10,9.914161107871244e-05
2015-09-11,0.001191044595676205
2015-09-14,-0.0064444865222873515
2015-09-15,0.010877222691543453
2015-09-16,0.0050345929895481145
2015-09-17,-0.0025537766249899008
2015-09-18,-0.01605145741641323
2015-09-21,0.017614350969843207
2015-09-22,-0.006884496319778943
2015-09-23,0.0035650067708306032
2015-09-24,0.0020724422992046687
2015-09-25,0.01841454605890913
2015-09-28,-0.01800515114989587
2015-09-29,0.006838707804625033
2015-09-30,0.01781683717286109
2015-10-01,-0.010735284914151766
2015-10-02,0.004203717675962171
2015-10-05,0.015674137895238305
