Date,CPB
2015-09-02,0.019202099966157515
2015-09-03,0.015909446434810404
2015-09-04,-0.012157353483062794
2015-09-08,0.030037258309797865
2015-09-09,-0.013365324819143543
2015-09-10,0.008825768353401875
2015-09-11,0.005086901768294849
2015-09-14,0.002226457538552662
2015-09-15,0.015350316923781415
2015-09-16,0.025661438199090503
2015-09-17,0.0001939167703162159
2015-09-18,-0.007950257874448141
2015-09-21,0.006059336486928357
2015-09-22,-0.006800067827669176
2015-09-23,0.004694977243280496
2015-09-24,-0.004283592304377581
2015-09-25,0.010363828651529294
2015-09-28,-0.016837561528197154
2015-09-29,-0.004134097328269526
2015-09-30,0.001779434525414736
2015-10-01,-0.013023404541494421
2015-10-02,0.01159553065064789
2015-10-05,0.01501985477736767
2015-10-06,-0.011487465463486335
