Date,XYL
2015-09-01,-0.04067805942174296
2015-09-02,0.008030800524313708
2015-09-03,0.03091157664681221
2015-09-04,-0.020711150207641138
2015-09-08,0.023989819716905725
2015-09-09,-0.010172569112846808
2015-09-10,0.0006228533481031917
2015-09-11,0.011204582569153132
2015-09-14,-0.008310273533418622
2015-09-15,0.025139471467542363
2015-09-16,0.010293777032162277
2015-09-17,-0.008690266112387324
2015-09-18,-0.025090818557192307
2015-09-21,0.01178290670217974
2015-09-22,-0.007048500231092936
2015-09-23,-0.019135959214321874
2015-09-24,0.023284875191112775
2015-09-25,-0.0015373363564195053
2015-09-28,-0.012318953089198614
2015-09-29,-0.002494587620804456
2015-09-30,0.026883225044948
2015-10-01,-0.00487077738671271
2015-10-02,0.025084299820258726
2015-10-05,0.0014921749942458096
