Date,GNRC
2015-09-02,0.011151202202039912
2015-09-03,0.012325629636943614
2015-09-04,-0.00961227958541655
2015-09-08,0.011970263379486035
2015-09-09,0.0019181414522153606
2015-09-10,-0.009572407007017003
2015-09-11,0.005476744972010339
2015-09-14,-0.010573531989311546
2015-09-15,0.011658051170187367
2015-09-16,0.010883487678582604
2015-09-17,-0.017099398653682485
2015-09-18,-0.04284799587068866
2015-09-21,-0.023224458026644634
2015-09-22,-0.010682335230910778
2015-09-23,-0.008359448929692426
2015-09-24,-0.009132428350986155
2015-09-25,-0.00850761357345331
2015-09-28,-0.028959581187963823
2015-09-29,0.0029455053076399285
2015-09-30,0.10462556554392877
2015-10-01,-0.031904319938619974
2015-10-02,-0.05183653844957625
2015-10-05,0.05213608193173935
2015-10-06,-0.008602890729333734
