Date,IBM
2015-09-02,0.016610701312486986
2015-09-03,0.011927000282678124
2015-09-04,-0.020984044934133972
2015-09-08,0.024565287279847414
2015-09-09,-0.014806792737543928
2015-09-10,0.007928238362178597
2015-09-11,0.008002857473838665
2015-09-14,-0.011671537168772561
2015-09-15,0.01290769143635595
2015-09-16,0.00596494006030257
2015-09-17,-0.0018190913675920628
2015-09-18,-0.024504135669371152
2015-09-21,0.013632385461179952
2015-09-22,-0.013995091542883031
2015-09-23,-0.005331263929744479
2015-09-24,0.005220858534594086
2015-09-25,0.006993712239101724
2015-09-28,-0.01994193655859111
2015-09-29,-0.00035095504420401546
2015-09-30,0.01754750786531445
2015-10-01,-0.009519337413025353
2015-10-02,0.006894774655598068
2015-10-05,0.030847523209718508
2015-10-06,-0.0017440535317655437
