Date,FFIV
2015-09-02,0.022045786162743886
2015-09-03,0.001983453419582837
2015-09-04,-0.0197954599815785
2015-09-08,0.024150141661246183
2015-09-09,-0.014953575782718165
2015-09-10,-0.0012511596183381046
2015-09-11,-0.01311173979316782
2015-09-14,-0.009139391112714002
2015-09-15,0.009223690023339781
2015-09-16,0.0080393043273006
2015-09-17,-0.007555418948348991
2015-09-18,-0.025714776553351637
2015-09-21,0.005469675740135127
2015-09-22,-0.021673383643463162
2015-09-23,0.005295661588349709
2015-09-24,0.017295884058926347
2015-09-25,-0.009493450223880928
2015-09-28,-0.006011979020593694
2015-09-29,0.008064499948972514
2015-09-30,0.006956548276154884
2015-10-01,0.010103610864521162
2015-10-02,0.024450718821103612
2015-10-05,0.02595343872844369
2015-10-06,-0.04050759116673264
