Date,PGR
2015-09-03,0.005392510415867857
2015-09-04,-0.012068621811676672
2015-09-08,0.020359840197253343
2015-09-09,-0.012969585619777235
2015-09-10,0.010107684351944535
2015-09-11,0.0083388927033472
2015-09-14,-0.0016540183228206384
2015-09-15,0.013253665951344695
2015-09-16,0.0130805426708962
2015-09-17,0.011620470431212837
2015-09-18,-0.02297373958395521
2015-09-21,0.009797310612610133
2015-09-22,-0.008408725584324817
2015-09-23,0.0006524078141647571
2015-09-24,-0.0022816610206725096
2015-09-25,0.001960261405281827
2015-09-28,-0.012716175943025099
2015-09-29,0.005284199383246202
2015-09-30,0.006570109598278195
2015-10-01,0.0009792902194698527
2015-10-02,0.01271585861180613
2015-10-05,0.010624648121396074
2015-10-06,-0.001911628978100155
2015-10-07,0.009256485733525777
