Date,WSM
2015-09-03,0.007927235473400573
2015-09-04,-0.0036703068662358174
2015-09-08,0.030127723213334567
2015-09-09,-0.022605416381603072
2015-09-10,-0.00470424910598366
2015-09-11,-0.004332258892609575
2015-09-14,-0.0014503910477401405
2015-09-15,-0.004753687334386636
2015-09-16,0.014594160813010015
2015-09-17,0.013338852238562016
2015-09-18,-0.006581132630553488
2015-09-21,0.0003893816311426601
2015-09-22,0.01428399852693718
2015-09-23,0.014466587879084836
2015-09-24,-0.012872377181424643
2015-09-25,-0.0034517412418795246
2015-09-28,-0.02527247402679511
2015-09-29,-0.003290263810560523
2015-09-30,0.0081868988300009
2015-10-01,-0.00026215441761401337
2015-10-02,0.008253786149494902
2015-10-05,0.023908338814781382
2015-10-06,-0.005710332311682054
2015-10-07,0.004083552130520696
