Date,BG
2015-09-01,-0.027605465141827157
2015-09-02,0.006813753162570935
2015-09-03,-0.0008461607602393562
2015-09-04,-0.011711531684844734
2015-09-08,0.008994471446435837
2015-09-09,-0.013442222984219598
2015-09-10,0.0068843656775503526
2015-09-11,-0.008689371508828314
2015-09-14,0.003736475553715257
2015-09-15,0.01603430057124733
2015-09-16,0.009862974037848637
2015-09-17,-0.005022988092199365
2015-09-18,-0.00841374369846537
2015-09-21,0.004808418102014711
2015-09-22,-0.01914163144093617
2015-09-23,-0.002152240751461143
2015-09-24,0.013805028561234556
2015-09-25,0.009219892879179792
2015-09-28,-0.028672091728320748
2015-09-29,0.04746067009045141
2015-09-30,0.012570916417268485
2015-10-01,0.0015007677307792289
2015-10-02,0.01580158759188821
2015-10-05,0.005900083916418941
