Date,NOW
2015-09-03,0.018155887460590492
2015-09-04,-0.020078633539254875
2015-09-08,0.05072361182244567
2015-09-09,-0.017864518686449893
2015-09-10,0.008886518312613445
2015-09-11,0.012936894641279784
2015-09-14,-0.0005434907113675003
2015-09-15,0.009516103872612813
2015-09-16,-0.004309179714769962
2015-09-17,0.009061376072799776
2015-09-18,-0.0033507572437322386
2015-09-21,0.0006724455533537732
2015-09-22,-0.018142803884890424
2015-09-23,-0.0009581124714393985
2015-09-24,-0.01191937447116087
2015-09-25,0.010260646638766246
2015-09-28,-0.052566590707803784
2015-09-29,-0.0013037279368692811
2015-09-30,0.0073976572204126345
2015-10-01,0.03066961809083879
2015-10-02,0.00908076989733897
2015-10-05,0.05870133831805391
2015-10-06,-0.024715566359069796
2015-10-07,0.0052292756781087135
