Date,IQV
2015-09-02,0.026981846604182014
2015-09-03,0.006771397952296754
2015-09-04,-0.020984633245114015
2015-09-08,0.021571856569896353
2015-09-09,-0.004841971993810645
2015-09-10,0.0058116004539896515
2015-09-11,0.019752771524745194
2015-09-14,-0.0036895346099458104
2015-09-15,0.01759028991295364
2015-09-16,0.0064985701083226655
2015-09-17,0.01291322273338813
2015-09-18,-0.011091314629061988
2015-09-21,-0.011860231694788781
2015-09-22,-0.01409004317749496
2015-09-23,0.005822448632831989
2015-09-24,-0.010656560521292047
2015-09-25,-0.024468037401079168
2015-09-28,-0.05861509018514177
2015-09-29,-0.002895988347994094
2015-09-30,0.010310762099614568
2015-10-01,0.0005749736337905542
2015-10-02,0.024709110840710924
2015-10-05,-0.009252819923832312
2015-10-06,-0.060846123302332855
