Date,HSY
2015-09-01,-0.027256532295814706
2015-09-02,0.017685101972178874
2015-09-03,0.018280252637601135
2015-09-04,-0.005762449882892096
2015-09-08,0.026638597497641525
2015-09-09,-0.01878230719151508
2015-09-10,0.0036515986076115503
2015-09-11,0.005511774181972351
2015-09-14,-0.01085405517397331
2015-09-15,0.005874843837374133
2015-09-16,0.03294782311690003
2015-09-17,-0.004694108532706132
2015-09-18,-0.00900301469307807
2015-09-21,0.003460611168317085
2015-09-22,-0.011532605684158481
2015-09-23,0.0015265695344046648
2015-09-24,0.002613271198316003
2015-09-25,0.0051034351736836125
2015-09-28,-0.013828945051983288
2015-09-29,0.012160683018016538
2015-09-30,-0.005520261867902998
2015-10-01,0.0018500227464381958
2015-10-02,0.024552188539544106
2015-10-05,0.012511713982126693
