Date,ABBV
2015-09-03,0.009839347032924328
2015-09-04,-0.02939252611204013
2015-09-08,0.01338458475627502
2015-09-09,-0.021628099111898336
2015-09-10,0.005400126402784977
2015-09-11,-0.0038603934252546823
2015-09-14,-0.00690812906757432
2015-09-15,0.004411257355781517
2015-09-16,0.005236107781208199
2015-09-17,0.005881610228305023
2015-09-18,0.022719937286934
2015-09-21,-0.02989240158655737
2015-09-22,-0.027782270281279664
2015-09-23,-0.005369007925487224
2015-09-24,-0.014974700705717159
2015-09-25,-0.014672185633583856
2015-09-28,-0.05812724059691121
2015-09-29,0.0055243016083514895
2015-09-30,0.030687465465956576
2015-10-01,0.013232615216682397
2015-10-02,0.012515996234671922
2015-10-05,0.015407027912051063
2015-10-06,-0.028229039639872222
2015-10-07,0.009985514855792355
