Date,K
2015-09-01,-0.008599826157710266
2015-09-02,0.015674793969007617
2015-09-03,0.008840344828693114
2015-09-04,-0.011139105475396205
2015-09-08,0.014118387816539846
2015-09-09,-0.02014222253542597
2015-09-10,0.0028718364380844186
2015-09-11,0.009645638348039887
2015-09-14,-0.003881231080481773
2015-09-15,0.010940019098630183
2015-09-16,0.013785793044960526
2015-09-17,0.007018192052000716
2015-09-18,-0.020618303527027093
2015-09-21,0.0031134642492811615
2015-09-22,-0.009311152059986227
2015-09-23,0.003878241175447439
2015-09-24,-0.0011880246777357106
2015-09-25,0.01502717882055915
2015-09-28,-0.025066138478888944
2015-09-29,-0.0009019762612664239
2015-09-30,0.0015049054504845394
2015-10-01,-0.004658383120032306
2015-10-02,0.01766333731505121
2015-10-05,0.009642327958075958
