Date,WRB
2015-09-01,-0.0202652295042004
2015-09-02,0.007709397706401333
2015-09-03,0.007667926487386012
2015-09-04,-0.013548428693406778
2015-09-08,0.02389459001021632
2015-09-09,-0.00845286656479416
2015-09-10,0.0005560826150352582
2015-09-11,0.0031485472335950337
2015-09-14,-0.0035079197043137444
2015-09-15,0.012970296138068438
2015-09-16,0.00786527759944744
2015-09-17,-0.0030854804987872075
2015-09-18,-0.018387053773528894
2015-09-21,0.010014991825830988
2015-09-22,-0.005325283156668803
2015-09-23,0.0012922265414110345
2015-09-24,0.0009221425259962057
2015-09-25,0.0020261840926056873
2015-09-28,-0.014705900660986315
2015-09-29,0.004477424352369308
2015-09-30,0.009844148133415054
2015-10-01,-0.006989179396802436
2015-10-02,0.0018521603963082
2015-10-05,0.00240362962435392
