Date,HLT
2015-09-03,0.013530398794842746
2015-09-04,-0.004854318169358995
2015-09-08,0.030487723329431615
2015-09-09,0.001972469020115497
2015-09-10,0.0023621027949942697
2015-09-11,0.005106277584713714
2015-09-14,-0.004689587997348532
2015-09-15,-0.018060480859322547
2015-09-16,0.018392661164231106
2015-09-17,-0.001963022200734632
2015-09-18,-0.057434901064563726
2015-09-21,0.0029213140600601317
2015-09-22,-0.014565002155143114
2015-09-23,-0.013513729203580072
2015-09-24,-0.007277349960824964
2015-09-25,-0.004312046148740367
2015-09-28,-0.04547417580441715
2015-09-29,-0.00635222708685379
2015-09-30,0.04748856454898864
2015-10-01,0.023539935074552876
2015-10-02,0.00425870358627356
2015-10-05,0.016115543241927988
2015-10-06,-0.007095273727094731
2015-10-07,0.01765437296958905
