Date,NOC
2015-09-02,0.032879762302494564
2015-09-03,0.00024327325576223302
2015-09-04,-0.014272935240397966
2015-09-08,0.035181631944463554
2015-09-09,-0.010415860471801541
2015-09-10,-0.003368265041087337
2015-09-11,0.017018756063382545
2015-09-14,-0.0040948043552845315
2015-09-15,0.014896369817360089
2015-09-16,0.0036986356961810074
2015-09-17,-0.0014037521848739853
2015-09-18,-0.010192137437181281
2015-09-21,0.007279213862660727
2015-09-22,-0.015158188207716639
2015-09-23,-0.0012526301130105777
2015-09-24,-0.003822454361576244
2015-09-25,-0.0072553930037564385
2015-09-28,-0.017636021623520293
2015-09-29,0.0055333485609867505
2015-09-30,0.014674506816264588
2015-10-01,-0.001386072990874898
2015-10-02,0.010922149198560716
2015-10-05,0.01701196743179989
2015-10-06,-0.011562300064608344
