Date,JPM
2015-09-02,0.018226365293387392
2015-09-03,0.0017578228241457161
2015-09-04,-0.0188258603718241
2015-09-08,0.02699200000130375
2015-09-09,-0.015516081751983712
2015-09-10,0.007719409152459944
2015-09-11,-0.0015958275914383924
2015-09-14,-0.0028775455881064893
2015-09-15,0.019237418440582355
2015-09-16,0.008807366840626107
2015-09-17,-0.02323037629725011
2015-09-18,-0.027294418590513736
2015-09-21,0.00836897499298761
2015-09-22,-0.008787593881491862
2015-09-23,-0.00443270901229198
2015-09-24,-0.006926338382214792
2015-09-25,0.02075717702791846
2015-09-28,-0.024239242352476986
2015-09-29,-0.002334268132289763
2015-09-30,0.018883567316072325
2015-10-01,0.007380771675669084
2015-10-02,-0.0027880098361567907
2015-10-05,0.019898149619357985
2015-10-06,0.0004837373596540129
