Date,NXPI
2015-09-02,0.03726829467081649
2015-09-03,0.009659126328936729
2015-09-04,-0.014933855067802648
2015-09-08,0.07402572341110547
2015-09-09,-0.01996031243402996
2015-09-10,-0.022392113432874727
2015-09-11,0.017610345713325648
2015-09-14,0.020925394273999087
2015-09-15,0.0023261631805640004
2015-09-16,0.005195623969536545
2015-09-17,0.0008797048727211543
2015-09-18,-0.010327423780509215
2015-09-21,0.0029971485861464142
2015-09-22,-0.04427238929124755
2015-09-23,-0.009033024300952763
2015-09-24,0.0012855904991579958
2015-09-25,0.012021470493462916
2015-09-28,-0.04936012185688099
2015-09-29,-0.0013342529050732743
2015-09-30,0.057701913495963764
2015-10-01,-0.019869368055951853
2015-10-02,0.006327835557626615
2015-10-05,-0.006753962770631561
2015-10-06,-0.00668189456127577
