Date,TT
2015-09-02,0.012131552755867192
2015-09-03,-0.010326542332981803
2015-09-04,-0.015465259080536753
2015-09-08,0.01987167315752103
2015-09-09,0.01231373904309252
2015-09-10,0.0005524760035218179
2015-09-11,0.013077878573083845
2015-09-14,-0.0007273195913134467
2015-09-15,0.02765678812525829
2015-09-16,0.010977273930056874
2015-09-17,-0.017163012880005546
2015-09-18,-0.020847902259998552
2015-09-21,-0.002547881410724151
2015-09-22,-0.016055124016484568
2015-09-23,-0.014648884116610472
2015-09-24,-0.009032996630945256
2015-09-25,-0.0026587904605888113
2015-09-28,-0.029512024359152234
2015-09-29,-0.00706309038448516
2015-09-30,0.0031612907131988166
2015-10-01,-0.0015757211626059586
2015-10-02,0.0138092342674494
2015-10-05,0.027632098239860126
2015-10-06,0.009656979033684676
