Date,CRL
2015-09-02,0.020730017421425107
2015-09-03,-0.0052980224653398356
2015-09-04,-0.00414260681265799
2015-09-08,0.03342742655786557
2015-09-09,-0.0064691915473851225
2015-09-10,0.013890885197429315
2015-09-11,0.012273449608921405
2015-09-14,-0.005216449245595611
2015-09-15,0.005952463334356839
2015-09-16,0.01634257506133996
2015-09-17,0.018852240391711295
2015-09-18,-0.01904763980787627
2015-09-21,-0.021359236451025665
2015-09-22,-0.01686500642270483
2015-09-23,-0.0014416332644667795
2015-09-24,-0.017467866942559973
2015-09-25,-0.049368215264170345
2015-09-28,-0.0480679589234323
2015-09-29,0.015099858789928922
2015-09-30,0.015994881520763338
2015-10-01,-0.006769526166198636
2015-10-02,0.02250756031396728
2015-10-05,-0.009300918755998366
2015-10-06,-0.03379752546658121
