Date,PEP
2015-08-31,-0.0064149380899323205
2015-09-01,-0.017217352213980686
2015-09-02,0.011177326976430368
2015-09-03,0.005347055690559266
2015-09-04,-0.013132978021860198
2015-09-08,0.015947946161832594
2015-09-09,-0.016672023764564115
2015-09-10,0.0025319118564097742
2015-09-11,0.006149985694065885
2015-09-14,-0.004584268124045221
2015-09-15,0.009429431817318923
2015-09-16,0.010971370989334206
2015-09-17,0.0032237910482617593
2015-09-18,-0.0034271295093227794
2015-09-21,0.0070925913966370935
2015-09-22,-0.014299291149223459
2015-09-23,0.0003246235926590568
2015-09-24,0.0007576134196232154
2015-09-25,0.010814115814213876
2015-09-28,-0.010698421841391692
2015-09-29,0.006164152856627636
2015-09-30,0.013542140475732989
2015-10-01,-0.004771425537905993
2015-10-02,0.0033032448680432314
