Date,MPWR
2015-09-03,0.012098658745818724
2015-09-04,-0.006183001028338797
2015-09-08,0.0406471571488729
2015-09-09,-0.010362637936616736
2015-09-10,0.0006037286347611026
2015-09-11,0.018716119455578273
2015-09-14,-0.000987817981695227
2015-09-15,0.011073759390150872
2015-09-16,-0.001955685472770252
2015-09-17,0.002547528122798015
2015-09-18,-0.014073621517727508
2015-09-21,-0.0023787279563485253
2015-09-22,-0.02146282770074015
2015-09-23,0.0
2015-09-24,0.0026400526030290195
2015-09-25,0.022888322061254796
2015-09-28,-0.02206756756310735
2015-09-29,0.007115491074860092
2015-09-30,0.03350815904520732
2015-10-01,-0.015234231682565103
2015-10-02,0.022015040371732075
2015-10-05,0.033184608488793677
2015-10-06,0.017655514887878088
2015-10-07,0.015134946480499956
